camera_id,camera_name,last_updated,image_url
53,Finaghy Crossroads,2025-04-21T18:27:03.202371,https://cctv.trafficwatchni.com/3269.jpg?cache=1745260020000
54,Boucher Road - Tates Avenue,2025-04-21T18:27:03.508174,https://cctv.trafficwatchni.com/3270.jpg?cache=1745260020000
55,Westlink - York Street,2025-04-21T18:27:03.817380,https://cctv.trafficwatchni.com/3271.jpg?cache=1745260020000
56,A1 - Blaris,2025-04-21T18:27:04.172360,https://cctv.trafficwatchni.com/3272.jpg?cache=1745260020000
57,A1 - Hillsborough Road Roundabout,2025-04-21T18:27:04.493286,https://cctv.trafficwatchni.com/3273.jpg?cache=1745260020000
58,A1 - B10 Overbridge Junction,2025-04-21T18:27:04.808937,https://cctv.trafficwatchni.com/3274.jpg?cache=1745260020000
59,A1 - Cloghoge - Newry,2025-04-21T18:27:05.117468,https://cctv.trafficwatchni.com/3275.jpg?cache=1745260020000
60,Lodge Rd R&#39;bout Newbridge Coleraine,2025-04-21T18:27:05.424977,https://cctv.trafficwatchni.com/3276.jpg?cache=1745260020000
62,Lodge Rd R&#39;bout Lodge Coleraine,2025-04-21T18:27:06.045586,https://cctv.trafficwatchni.com/3278.jpg?cache=1745260020000
64,Strand Rd Coleraine,2025-04-21T18:27:06.659980,https://cctv.trafficwatchni.com/3280.jpg?cache=1745260020000
65,Greenmount Coleraine,2025-04-21T18:27:06.975675,https://cctv.trafficwatchni.com/3281.jpg?cache=1745260020000
66,Old Bridge Coleraine,2025-04-21T18:27:07.282061,https://cctv.trafficwatchni.com/3282.jpg?cache=1745260020000
67,Kilowen St Coleraine,2025-04-21T18:27:07.587474,https://cctv.trafficwatchni.com/3283.jpg?cache=1745260020000
68,Ballykelly,2025-04-21T18:27:07.889993,https://cctv.trafficwatchni.com/3284.jpg?cache=1745260020000
69,Belt Road,2025-04-21T18:27:08.202174,https://cctv.trafficwatchni.com/3285.jpg?cache=1745260020000
70,Buncrana Road,2025-04-21T18:27:08.509563,https://cctv.trafficwatchni.com/3286.jpg?cache=1745260020000
71,Caw Roundabout,2025-04-21T18:27:08.823400,https://cctv.trafficwatchni.com/3287.jpg?cache=1745260020000
72,Craigavon Bridge,2025-04-21T18:27:09.388793,https://cctv.trafficwatchni.com/3288.jpg?cache=1745260020000
73,Culmore Roundabout,2025-04-21T18:27:09.774063,https://cctv.trafficwatchni.com/3289.jpg?cache=1745260030000
74,Dales Corner/A6 Glendermott Rd - A2 ColumbraTerrace,2025-04-21T18:27:10.224502,https://cctv.trafficwatchni.com/3290.jpg?cache=1745260030000
76,Great James Street,2025-04-21T18:27:10.853152,https://cctv.trafficwatchni.com/3292.jpg?cache=1745260030000
77,Greenhaw,2025-04-21T18:27:11.158896,https://cctv.trafficwatchni.com/3293.jpg?cache=1745260030000
78,Rossdowney Road,2025-04-21T18:27:11.587741,https://cctv.trafficwatchni.com/3294.jpg?cache=1745260030000
79,Strand Road,2025-04-21T18:27:11.935479,https://cctv.trafficwatchni.com/3295.jpg?cache=1745260030000
151,Oxford Street - Ann Street,2025-04-21T18:27:34.596385,https://cctv.trafficwatchni.com/2_1.jpg?cache=1745260050000
152,Oxford Street - Lanyon Place,2025-04-21T18:27:34.907554,https://cctv.trafficwatchni.com/3_1.jpg?cache=1745260050000
153,Victoria Street - High Street,2025-04-21T18:27:35.211393,https://cctv.trafficwatchni.com/5_1.jpg?cache=1745260050000
154,Dock Street - Garmoyle Street,2025-04-21T18:27:35.513058,https://cctv.trafficwatchni.com/7_1.jpg?cache=1745260050000
155,Peters Hill - Millfield,2025-04-21T18:27:35.832921,https://cctv.trafficwatchni.com/8_1.jpg?cache=1745260050000
156,East Bridge Street - Central Station,2025-04-21T18:27:36.146893,https://cctv.trafficwatchni.com/21.jpg?cache=1745260050000
157,Beersbridge Road - Castlereagh Street,2025-04-21T18:27:36.446905,https://cctv.trafficwatchni.com/23.jpg?cache=1745260050000
158,Upper Newtownards Rd - Stoney Rd,2025-04-21T18:27:36.761360,https://cctv.trafficwatchni.com/26.jpg?cache=1745260050000
159,Dublin Rd - Bruce Street,2025-04-21T18:27:37.068634,https://cctv.trafficwatchni.com/31_1.jpg?cache=1745260050000
160,University Road - Stranmillis Road,2025-04-21T18:27:37.377782,https://cctv.trafficwatchni.com/33.jpg?cache=1745260050000
161,Lisburn Road - Eglantine Avenue,2025-04-21T18:27:37.676269,https://cctv.trafficwatchni.com/35.jpg?cache=1745260050000
162,Falls Road - Grosvenor Road,2025-04-21T18:27:38.035571,https://cctv.trafficwatchni.com/40_1.jpg?cache=1745260050000
163,Andersonstown Rd - Finaghy Rd Nth,2025-04-21T18:27:38.340834,https://cctv.trafficwatchni.com/43.jpg?cache=1745260050000
164,Stewartstown Road / Michael Ferguson Roundabout,2025-04-21T18:27:38.653743,https://cctv.trafficwatchni.com/44_1.jpg?cache=1745260050000
165,"A2 Shore Rd - Trooperslane, Carrick",2025-04-21T18:27:38.953909,https://cctv.trafficwatchni.com/55.jpg?cache=1745260050000
